,taxon,fraction.dark,number.total,number.dark,number.known
1,Alveolata,0.796290619,13048,10390,2658
2,Apicomplexa,0.900498973,6814,6136,678
3,Ciliophora,0.523901311,2594,1359,1235
4,Amoebozoa,0.675551853,2401,1622,779
5,Arcellinida,0.130952381,84,11,73
6,Dictyostelia,0.356321839,174,62,112
7,Myxogastria,0.240825688,436,105,331
9,Glaucophyta,0.263157895,19,5,14
10,Rhodophyceae,0.570343409,6319,3604,2715
11,Euglenozoa,0.674834437,1510,1019,491
12,Fornicata,0.758064516,124,94,30
13,Heterolobosea,0.787056367,479,377,102
14,Jakobida,0.153846154,13,2,11
15,Parabasalia,0.691111111,450,311,139
16,Opisthokonta,0.598128176,546953,327148,219805
17,Choanomonada,0.222222222,81,18,63
18,Mesomycetozoa,0.76744186,129,99,30
19,Apusomonadida,0.541666667,24,13,11
20,Centroheliozoa,0.596491228,57,34,23
21,Cryptophyceae,0.732441472,299,219,80
22,Haptophyta,0.75984252,508,386,122
23,Rhizaria,0.680922633,2081,1417,664
24,Acantharia,0.438356164,73,32,41
25,Cercozoa,0.66581306,781,520,261
26,Foraminifera,0.746104491,1091,814,277
27,Haplosporidia,0.528301887,53,28,25
28,Polycystinea,0.284313725,102,29,73
29,Actinophryidae,0,3,0,3
30,Bacillariophyta,0.575240919,2698,1552,1146
31,Bicosoecida,0.792207792,77,61,16
32,Chrysophyceae,0.609375,320,195,125
33,Eustigmatophyceae,0.849462366,186,158,28
34,Labyrinthulomycetes,0.874203822,628,549,79
35,Opalinata,0.636363636,11,7,4
36,Pelagophyceae,0.794520548,73,58,15
37,Phaeophyceae,0.492424242,1584,780,804
38,Phaeothamniophyceae,0.333333333,9,3,6
39,Pinguiophyceae,0.615384615,13,8,5
40,Raphidophyceae,0.44,25,11,14
41,Synurophyceae,0.365853659,123,45,78
42,Xanthophyceae,0.526041667,192,101,91
43,Porifera,0.571532847,2740,1566,1174
44,Cnidaria,0.512686675,6897,3536,3361
45,Anthozoa,0.568171242,4298,2442,1856
46,Myxozoa,0.317811409,859,273,586
47,Bryophytes,0.10178078,6514,663,5851
48,Lycopodiopsida,0.083333333,552,46,506
49,Polypodiopsida,0.080186047,5375,431,4944
50,Acrogymnospermae,0.083333333,1188,99,1089
51,Amborellales,0,1,0,1
52,Austrobaileyales,0.09375,64,6,58
53,Liliopsida,0.105655356,30060,3176,26884
54,Pinidae,0.078804348,736,58,678
55,Magnoliophyta,0.094885364,123391,11708,111683
56,Hexapoda,0.664049237,275079,182666,92413
